"time","source","target","value"
2016-12-26 01:00:00,DNK,DEU,517286
2016-12-26 01:00:00,ALB,MNE,2928
2016-12-26 01:00:00,ALB,SRB,50162
2016-12-26 01:00:00,AUT,CHE,979278
2016-12-26 01:00:00,AUT,CZE,0
2016-12-26 01:00:00,AUT,DEU,75
2016-12-26 01:00:00,AUT,HUN,58718
2016-12-26 01:00:00,AUT,ITA,155896
2016-12-26 01:00:00,AUT,SVN,510427
2016-12-26 01:00:00,BIH,HRV,0
2016-12-26 01:00:00,BIH,MNE,329702
2016-12-26 01:00:00,BIH,SRB,0
2016-12-26 01:00:00,BEL,FRA,1567458
2016-12-26 01:00:00,BEL,GBR,
2016-12-26 01:00:00,BEL,LUX,
2016-12-26 01:00:00,BEL,NLD,0
2016-12-26 01:00:00,BGR,GRE,323875
2016-12-26 01:00:00,BGR,MKD,362167
2016-12-26 01:00:00,BGR,ROU,0
2016-12-26 01:00:00,BGR,SRB,373301
2016-12-26 01:00:00,BGR,TUR,499208
2016-12-26 01:00:00,BLR,LTU,52417
2016-12-26 01:00:00,CHE,AUT,0
2016-12-26 01:00:00,CHE,DEU,571450
2016-12-26 01:00:00,CHE,FRA,1031167
2016-12-26 01:00:00,CHE,ITA,145125
2016-12-26 01:00:00,CZE,AUT,2009012
2016-12-26 01:00:00,CZE,DEU,1344130
2016-12-26 01:00:00,CZE,POL,1400
2016-12-26 01:00:00,CZE,SVK,1180846
2016-12-26 01:00:00,DEU,AUT,1826758
2016-12-26 01:00:00,DEU,CHE,3435822
2016-12-26 01:00:00,DEU,CZE,559727
2016-12-26 01:00:00,DEU,DNK,532070
2016-12-26 01:00:00,DEU,FRA,1524833
2016-12-26 01:00:00,DEU,LUX,
2016-12-26 01:00:00,DEU,NLD,1861208
2016-12-26 01:00:00,DEU,POL,701148
2016-12-26 01:00:00,DEU,SWE,13288
2016-12-26 01:00:00,ALB,GRE,0
2016-12-26 01:00:00,DNK,NLD,
2016-12-26 01:00:00,DNK,NOR,710947
2016-12-26 01:00:00,DNK,SWE,150608
2016-12-26 01:00:00,EST,FIN,55541
2016-12-26 01:00:00,EST,LVA,39300
2016-12-26 01:00:00,EST,RUS,49325
2016-12-26 01:00:00,ESP,FRA,38188
2016-12-26 01:00:00,ESP,PRT,773872
2016-12-26 01:00:00,FIN,EST,27092
2016-12-26 01:00:00,FIN,NOR,0
2016-12-26 01:00:00,FIN,RUS,0
2016-12-26 01:00:00,FIN,SWE,0
2016-12-26 01:00:00,FRA,BEL,0
2016-12-26 01:00:00,FRA,CHE,0
2016-12-26 01:00:00,FRA,DEU,0
2016-12-26 01:00:00,FRA,ESP,1561963
2016-12-26 01:00:00,FRA,GBR,562208
2016-12-26 01:00:00,FRA,ITA,0
2016-12-26 01:00:00,GBR,BEL,
2016-12-26 01:00:00,GBR,FRA,150625
2016-12-26 01:00:00,GBR,IRL,0
2016-12-26 01:00:00,GBR,NLD,0
2016-12-26 01:00:00,GRE,ALB,210458
2016-12-26 01:00:00,GRE,BGR,0
