"time","source","target","value"
2019-12-30 01:00:00,GR,IT,0
2019-12-30 01:00:00,UA,HU,254162
2019-12-30 01:00:00,SK,HU,1439232
2019-12-30 01:00:00,UA,RO,467442
2019-12-30 01:00:00,RS,ME,489
2019-12-30 01:00:00,HU,RO,271746
2019-12-30 01:00:00,LT,BY,14800
2019-12-30 01:00:00,IE,GB,219780
2019-12-30 01:00:00,MD,UA,317
2019-12-30 01:00:00,SE,DK,838908
2019-12-30 01:00:00,AT,HU,857339
2019-12-30 01:00:00,SI,HR,252150
2019-12-30 01:00:00,IT,GR,436308
2019-12-30 01:00:00,SE,FI,886041
2019-12-30 01:00:00,AT,SI,806501
2019-12-30 01:00:00,MK,BG,0
2019-12-30 01:00:00,LV,RU,2300
2019-12-30 01:00:00,DK,DE,992215
2019-12-30 01:00:00,GR,BG,0
2019-12-30 01:00:00,PT,ES,533402
2019-12-30 01:00:00,IT,AT,0
2019-12-30 01:00:00,BE,LU,0
2019-12-30 01:00:00,AL,ME,0
2019-12-30 01:00:00,AL,RS,54635
2019-12-30 01:00:00,DE,SE,4161
2019-12-30 01:00:00,BG,MK,298800
2019-12-30 01:00:00,CZ,AT,1320228
2019-12-30 01:00:00,RS,XK,
2019-12-30 01:00:00,PL,DE,0
2019-12-30 01:00:00,UA,PL,166077
2019-12-30 01:00:00,LT,LV,31504
2019-12-30 01:00:00,HU,HR,714010
2019-12-30 01:00:00,ES,PT,501337
2019-12-30 01:00:00,NL,DK,0
2019-12-30 01:00:00,PL,UA,0
2019-12-30 01:00:00,NO,DK,110595
2019-12-30 01:00:00,UA,MD,44175
2019-12-30 01:00:00,RU,EE,203242
2019-12-30 01:00:00,RS,MK,528279
2019-12-30 01:00:00,AL,GR,150717
2019-12-30 01:00:00,FI,SE,288135
2019-12-30 01:00:00,AT,IT,97475
2019-12-30 01:00:00,NO,DE,
2019-12-30 01:00:00,CZ,SK,1399718
2019-12-30 01:00:00,BG,GR,309392
2019-12-30 01:00:00,BY,LT,223025
2019-12-30 01:00:00,IT,FR,4917
2019-12-30 01:00:00,HU,UA,279
2019-12-30 01:00:00,MK,RS,0
2019-12-30 01:00:00,DE,CZ,1328494
2019-12-30 01:00:00,FR,DE,1161371
2019-12-30 01:00:00,MT,IT,0
2019-12-30 01:00:00,LU,DE,0
2019-12-30 01:00:00,LU,BE,66
2019-12-30 01:00:00,RS,AL,1179
2019-12-30 01:00:00,GR,TR,33
2019-12-30 01:00:00,ME,BA,434
2019-12-30 01:00:00,LV,LT,167875
2019-12-30 01:00:00,IT,CH,54217
2019-12-30 01:00:00,XK,RS,
2019-12-30 01:00:00,SI,IT,681858
2019-12-30 01:00:00,IT,ME,73008
2019-12-30 01:00:00,RO,RS,95794
2019-12-30 01:00:00,SI,AT,750
2019-12-30 01:00:00,RS,BG,23971
2019-12-30 01:00:00,HR,BA,334125
2019-12-30 01:00:00,SE,NO,1791313
2019-12-30 01:00:00,SE,PL,342739
2019-12-30 01:00:00,BE,FR,550674
2019-12-30 01:00:00,ME,AL,509572
2019-12-30 01:00:00,GR,AL,1242
2019-12-30 01:00:00,SK,PL,0
2019-12-30 01:00:00,NO,FI,18505
2019-12-30 01:00:00,DE,LU,409832
2019-12-30 01:00:00,HR,RS,101825
2019-12-30 01:00:00,SK,CZ,0
2019-12-30 01:00:00,DE,BE,
2019-12-30 01:00:00,RS,HR,5042
2019-12-30 01:00:00,XK,ME,
2019-12-30 01:00:00,XK,MK,
2019-12-30 01:00:00,CH,IT,2225017
