source,target,value
ALB,GRC,70407.32075471699
ALB,MNE,2802.2075471698113
ALB,SRB,33380.96226415094
AUT,CHE,404613.92452830187
AUT,CZE,4932.320754716981
AUT,DEU,457279.30188679247
AUT,HUN,718210.0
AUT,ITA,131670.84905660377
AUT,SVN,537668.8113207547
BIH,HRV,102463.83018867925
BIH,MNE,517625.43396226416
BIH,SRB,118445.35849056604
BEL,DEU,14507.32075471698
BEL,FRA,435414.28301886795
BEL,GBR,629005.3396226416
BEL,LUX,30926.20754716981
BEL,NLD,276152.1886792453
BGR,GRC,212397.03773584907
BGR,MKD,212147.37735849057
BGR,ROU,93002.22641509434
BGR,SRB,89414.7358490566
BGR,TUR,192901.49056603774
BLR,LTU,256987.88679245283
BLR,UKR,18523.830188679247
CHE,AUT,117404.84905660378
CHE,DEU,728953.9811320754
CHE,FRA,260778.18867924527
CHE,ITA,2037333.433962264
CZE,AUT,955883.0754716981
CZE,DEU,370362.5283018868
CZE,POL,60140.03773584906
CZE,SVK,1106341.9622641508
DEU,AUT,1537295.0943396227
DEU,BEL,41346.11320754717
DEU,CHE,1273907.1509433961
DEU,CZE,1038710.283018868
DEU,DNK,371145.1320754717
DEU,FRA,278421.96226415096
DEU,LUX,408038.8113207547
DEU,NLD,881088.679245283
DEU,NOR,5753.603773584906
DEU,POL,1277247.924528302
DEU,SWE,43376.1320754717
DNK,DEU,734949.0188679246
DNK,NLD,241554.54716981133
DNK,NOR,93226.50943396226
DNK,SWE,241176.69811320756
EST,FIN,2407.698113207547
EST,LVA,223892.88679245283
EST,RUS,157030.6037735849
ESP,FRA,661054.6603773584
ESP,PRT,708522.8490566037
FIN,EST,752674.1320754717
FIN,NOR,4379.867924528302
FIN,RUS,1897.7169811320755
FIN,SWE,14025.754716981131
FRA,BEL,523452.92452830187
FRA,CHE,915231.2264150943
FRA,DEU,1427684.5094339622
FRA,ESP,1232552.7547169812
FRA,GBR,1202241.4150943395
FRA,ITA,1536891.3018867925
GBR,BEL,54835.71698113208
GBR,FRA,183291.8679245283
GBR,IRL,76549.07547169812
GBR,NLD,60575.32075471698
GRC,ALB,45208.1320754717
GRC,BGR,1693.377358490566
GRC,ITA,37567.11320754717
GRC,MKD,20086.264150943396
GRC,TUR,3282.754716981132
HRV,BIH,180298.8679245283
HRV,HUN,38382.79245283019
HRV,SRB,60096.301886792455
HRV,SVN,68747.22641509434
HUN,AUT,9365.905660377359
HUN,HRV,356547.358490566
HUN,ROU,237992.96226415093
HUN,SRB,109091.54716981133
HUN,SVK,946.0188679245283
HUN,UKR,14336.245283018869
IRL,GBR,182428.15094339623
ITA,AUT,547.5094339622641
ITA,CHE,97399.83018867925
ITA,FRA,23806.849056603773
ITA,GRC,291835.37735849054
ITA,MNE,118216.90566037736
ITA,MLT,47643.88679245283
ITA,SVN,47514.64150943396
LTU,BLR,7441.792452830188
LTU,LVA,55338.622641509435
LTU,POL,245115.320754717
LTU,RUS,52.54716981132076
LTU,SWE,10595.716981132075
LUX,BEL,7671.0
LUX,DEU,4.320754716981132
LVA,EST,16021.77358490566
LVA,LTU,163873.18867924527
LVA,RUS,2624.566037735849
MDA,ROU,0.0
MDA,UKR,10210.301886792453
MNE,ALB,298908.96226415096
MNE,BIH,17444.22641509434
MNE,ITA,186288.37735849057
MNE,SRB,122978.69811320755
MKD,BGR,474.41509433962267
MKD,GRC,319848.9433962264
MKD,SRB,3875.433962264151
MLT,ITA,55.81132075471698
NLD,BEL,742091.1320754717
NLD,DEU,856159.358490566
NLD,DNK,117591.28301886792
NLD,GBR,539981.6603773584
NLD,NOR,12460.037735849057
NOR,DEU,26417.396226415094
NOR,DNK,927995.5283018867
NOR,FIN,34841.90566037736
NOR,NLD,527775.5283018867
NOR,SWE,1258329.8301886793
POL,CZE,328675.320754717
POL,DEU,1336.6037735849056
POL,LTU,43696.811320754714
POL,SWE,1494.8301886792453
POL,SVK,359716.0
POL,UKR,0.0
PRT,ESP,535705.3962264151
ROU,BGR,358161.58490566036
ROU,HUN,10016.301886792453
ROU,MDA,0.0
ROU,SRB,70914.49056603774
ROU,UKR,12276.67924528302
SRB,ALB,16877.245283018867
SRB,BIH,22544.528301886792
SRB,BGR,25850.603773584906
SRB,HRV,46135.54716981132
SRB,HUN,59789.24528301887
SRB,MNE,56011.84905660377
SRB,MKD,348543.2641509434
SRB,ROU,108435.88679245283
RUS,EST,31753.037735849055
RUS,FIN,340685.71698113205
RUS,LTU,234946.0754716981
RUS,LVA,86935.75471698113
RUS,UKR,148732.5849056604
SWE,DEU,286530.22641509434
SWE,DNK,668615.6603773584
SWE,FIN,2069315.9433962265
SWE,LTU,539811.6226415094
SWE,NOR,374430.7924528302
SWE,POL,431258.320754717
SVN,AUT,26401.67924528302
SVN,HRV,408031.4905660377
SVN,ITA,447431.96226415096
SVK,CZE,5633.1509433962265
SVK,HUN,1053471.358490566
SVK,POL,10569.037735849057
SVK,UKR,381631.58490566036
TUR,BGR,36867.79245283019
TUR,GRC,211284.49056603774
UKR,BLR,185806.90566037735
UKR,HUN,185501.5283018868
UKR,MDA,26033.45283018868
UKR,POL,167572.16981132075
UKR,ROU,316572.320754717
UKR,RUS,39202.0
UKR,SVK,10785.943396226416
