"Country","Mean","Min","Max","Range"
ALB,-163315.4203821656,-699772,844552,1544324
AUT,-860360.974522293,-2904681,921905,3826586
BIH,425562.59872611467,-246238,1327303,1573541
BEL,-846272.4012738854,-3450397,2522121,5972518
BUL,715436.3375796179,-78274,1476287,1554561
BLR,177241.32484076434,-172232,598483,770715
CHE,-159432.7898089172,-3785822,4278255,8064077
CZE,1501251.5796178344,142579,2878779,2736200
DEU,5253308.50955414,-2074377,12026056,14100433
DNK,-583041.5541401274,-2254662,1122336,3376998
EST,86543.42675159236,-519467,648443,1167910
ESP,-1362294.8280254777,-4055518,1553648,5609166
FIN,-2254626.414012739,-3295140,-999018,2296122
FRA,5820154.598726114,-4497081,11894119,16391200
GBR,-2241245.414012739,-3958481,757878,4716359
GRE,-858724.6114649682,-1662184,61685,1723869
HRV,-743190.5095541402,-1330953,269464,1600417
HUN,-1393948.566878981,-2488870,-410540,2078330
IRL,56511.89808917198,-335541,364832,700373
ITA,-4438839.751592357,-6932808,1032975,7965783
LTU,-1069937.363057325,-1378601,-794417,584184
LUX,-400163.79617834394,-554862,0,554862
LVA,-70739.57961783439,-483865,593734,1077599
MDA,-68266.22929936305,-147738,0,147738
MNE,-73747.49044585988,-417104,294088,711192
MKD,-211844.92356687898,-422387,88136,510523
MLT,-79112.19108280254,-183536,43000,226536
NLD,-417385.2101910828,-3331175,1388332,4719507
NOR,911747.1592356688,-2992935,3468319,6461254
POL,-671314.3184713376,-1836581,1293346,3129927
PRT,72614.82165605096,-1611275,2338005,3949280
ROU,193810.5668789809,-1050941,1162990,2213931
SRB,-93269.8152866242,-1301892,1386174,2688066
RUS,1247383.1401273885,302609,2347714,2045105
SWE,2376254.426751592,-424756,5567276,5992032
SVN,48911.58598726115,-625866,687694,1313560
SVK,-400069.54777070065,-1188686,343827,1532513
TUR,111112.34394904459,-333256,405720,738976
UKR,463299.5732484076,-222622,971488,1194110
