"Country","Mean","Min","Max","Range"
AL,-249835.57692307694,-564095,19772,583867
AT,-377895.26923076925,-1870797,1814260,3685057
BA,514079.6153846154,56908,1328707,1271799
BE,23527.76923076923,-1464122,1125679,2589801
BG,380447.9423076923,-223852,853100,1076952
BY,82430.19230769231,-200542,536469,737011
CH,489269.75,-1799061,2564791,4363852
CZ,1116319.8846153845,85283,2278529,2193246
DE,2185027.1153846155,-4228684,8286342,12515026
DK,-810880.25,-2212552,510065,2722617
EE,-415577.23076923075,-693167,-25658,667509
ES,-372522.25,-2533686,2682024,5215710
FI,-1676550.6153846155,-2577439,-930951,1646488
FR,4978908.75,-3058006,10510441,13568447
GB,-2177506.153846154,-3511058,117089,3628147
GR,-986162,-1652667,-68601,1584066
HR,-567415.1730769231,-1102979,324845,1427824
HU,-1336597.5,-2070097,-700830,1369267
IE,104060.76923076923,-244076,287263,531339
IT,-3745128.403846154,-7030145,431853,7461998
LT,-921643.6346153846,-1199269,-723467,475802
LU,-431703.6153846154,-534463,-322720,211743
LV,-187658.88461538462,-514781,163595,678376
MD,-15283.961538461539,-72482,15429,87911
ME,-66201.73076923077,-482512,302497,785009
MK,-257926.42307692306,-524302,-19629,504673
MT,-48503.28846153846,-150310,0,150310
NL,289025.92307692306,-1942337,2806937,4749274
NO,2365624.096153846,-467403,5126477,5593880
PL,-1469976.8461538462,-2186238,-716918,1469320
PT,-176757.59615384616,-1599119,1652768,3251887
RO,-311294.6346153846,-830677,833459,1664136
RS,85528.21153846153,-749334,780062,1529396
RU,615988.8076923077,29972,1777437,1747465
SE,2772945.153846154,705173,5375770,4670597
SI,231395.42307692306,-329527,835159,1164686
SK,-25941.26923076923,-411059,440292,851351
TR,53471.67307692308,-393440,354536,747976
UA,345073.3653846154,27806,723757,695951 
