Entity,Code,Year,Electricity from coal (TWh),Electricity from gas (TWh),Electricity from hydro (TWh),Electricity from other renewables (TWh),Electricity from solar (TWh),Electricity from oil (TWh),Electricity from wind (TWh),Electricity from nuclear (TWh),Total (TWh)
Albania,ALB,2020,0.0,0.0,5.281,0.0,0.0,0.0,0.0,0.0,5.281
Austria,AUT,2020,0.716660303999999,10.440827021,42.88311892,4.068629143,1.264995729,3.249908,6.86816965899999,0.0,69.49230877599999
Belarus,BLR,2020,0.0,34.89598,0.34452,0.336,0.181,0.0,0.178,0.0,35.9355
Belgium,BEL,2020,0.0912999999999999,26.052379991,0.273023303,5.171873998,4.60973408,3.54561887199999,12.387557274,33.79081008,85.922297598
Bosnia and Herzegovina,BIH,2020,10.7554635988907,0.0,4.85273183021384,0.0106666666666666,0.03,0.0,0.235767703632036,0.0,15.884629799403243
Bulgaria,BGR,2020,13.5087832709999,2.241946714,2.96506509,1.48988349099999,1.567284845,0.442797451,1.47496189599999,16.636114925,40.32683768299988
Croatia,HRV,2020,1.239508535,3.28940909,5.57646255599999,0.930836183999999,0.080071245,0.042655294,1.564796547,0.0,12.723739450999988
Czechia,CZE,2020,32.067170073,5.823603145,1.974344271,4.903777207,2.18728677,3.001016929,0.689256132,30.036721227,80.68317575399999
Denmark,DNK,2020,4.243723057,1.054749828,0.014862,5.100977661,1.237299481,1.031539097,16.365435465,0.0,29.048586589000003
Estonia,EST,2020,0.0,0.052646958,0.0007058129999999,1.319777292,0.0397533879999999,4.085226945,0.888554222,0.0,6.386664617999999
Finland,FIN,2020,3.44324998,3.821802777,15.19017301,10.7382249999999,0.090225,3.280752877,7.667028342,23.2257844329999,67.4572414189998
France,FRA,2020,4.275487201,34.245559595,62.064907329,8.786581938,13.190056511,11.526363411,39.231955823,355.19080354,528.5117153479999
Germany,DEU,2020,134.2,91.6,18.7,50.5,51.0,22.5,134.5,64.3,567.3
Greece,GRC,2020,7.39007119999999,17.760469398,3.78694093899999,0.31407,4.353978802,5.827281,8.900746175,0.0,48.333557513999985
Hungary,HUN,2020,3.59288616299999,8.846830381,0.270933187,2.40708699999999,1.61932301,0.348964884,0.655948946,16.064524821,33.80649839199998
Ireland,IRL,2020,0.739090668,16.3932958119999,0.914715811,0.844058,0.016656,1.616891318,11.1141336449999,0.0,31.6388412539998
Italy,ITA,2020,14.964591348,125.63245726,48.0787776579999,25.227532947,26.604418,15.884250066,18.942906198,0.0,275.3349334769999
Latvia,LVA,2020,0.000343,2.26656979599999,2.584770003,0.809702706,0.0012729999999999,0.0,0.166817739,0.0,5.8294762439999905
Lithuania,LTU,2020,0.0,1.598955566,0.250423189999999,0.564631299,0.084534766,0.181356801999999,1.512818569,0.0,4.192720191999999
Luxembourg,LUX,2020,0.0,0.195271,0.092778,0.217401999999999,0.119725,0.077182,0.254575,0.0,0.9569329999999989
Malta,MLT,2020,0.0,1.74538099999999,0.0,0.008952,0.189576,0.018104,5.8e-05,0.0,1.96207099999999
Moldova,MDA,2020,4.42092884210526,0.578931157894736,0.29799,0.031,0.003,0.0,0.043,0.0,5.374849999999997
Montenegro,MNE,2020,1.6,0.0,1.4,0.0,0.0,0.0,0.3,0.0,3.3
Netherlands,NLD,2020,8.94012256999999,74.45886832,0.074182,7.8106147,7.91346499999999,5.610203931,15.584991,4.07626897,124.46871649099997
North Macedonia,MKD,2020,2.6,1.1,1.2,0.0,0.0,0.0,0.1,0.0,5.0
Norway,NOR,2020,0.0,1.65713090853975,131.877700271622,0.6662910238865596,0.013,0.0850864731919703,9.3210960294881,0.0,143.6203047067284
Poland,POL,2020,109.902978854999,16.417075985,2.02153997499999,6.830628126,2.07948152,4.451525611,15.685265821,0.0,157.38849589299898
Portugal,PRT,2020,3.060999608,17.31712353,12.609540093,4.214988091,1.44886303799999,1.035214457,12.319788009,0.0,52.006516825999995
Romania,ROU,2020,9.369023088,9.98384199699999,15.362288084,0.565383668999999,1.766310735,0.704881999999999,6.962612688,11.483331795,56.19767405599998
Russia,RUS,2020,155.000397377825,442.023045383394,209.54492,3.73,1.67466999999999,9.56490723877999,1.34284,202.44301,1025.323789999999
Serbia,SRB,2020,24.8642486666666,0.0,9.63154,0.166709,0.014,0.0,0.848,0.0,35.5244976666666
Slovakia,SVK,2020,1.97660586599999,3.764069874,4.752158622,2.06868021,0.604426473999999,0.0,0.0099561427,15.438403972,28.614301160699988
Slovenia,SVN,2020,4.377792259,0.597411867,5.066984503,0.285030094,0.289433575,0.012634217,0.006232987,6.32852333999999,16.96404284199999
Spain,ESP,2020,6.295943508,68.6032798799999,31.9047204099999,6.81863684699999,20.755279456,15.9030612469999,55.146860553,58.306917109,263.7346990099997
Sweden,SWE,2020,0.335,0.385,74.153694626,10.689011506,0.407,2.937,27.283546349,50.225455665,166.415708146
Switzerland,CHE,2020,0.0,0.0,37.2866643303614,3.301,3.97354285143581,0.66148,0.166510885117837,23.2833958843107,68.67259395122574
Turkey,TUR,2020,98.9153357311129,66.7168776666418,77.22444977,13.7084864,10.7092390679999,0.578455862245173,24.31808577,0.0,292.1709302679997
Ukraine,UKR,2020,37.7493797430378,10.6108449468243,7.112412,0.285,0.998,1.93893531013786,4.92967,69.872519,133.49676099999994
United Kingdom,GBR,2020,5.318667547,111.652725515,6.596227084,35.4774963459999,13.353778187,7.48454747999999,73.77557252,51.817455551,305.4764702299999
