Entity,Code,Year,Electricity from coal (TWh),Electricity from gas (TWh),Electricity from hydro (TWh),Electricity from other renewables (TWh),Electricity from solar (TWh),Electricity from oil (TWh),Electricity from wind (TWh),Electricity from nuclear (TWh)
Albania,ALB,2017,0.0,0.0,4.47975,0.0,0.001,0.0,0.0,0.0
Albania,ALB,2018,0.0,0.0,8.46648,0.0,0.001,0.0,0.0,0.0
Albania,ALB,2019,0.0,0.0,5.15394,0.0,0.022,0.0,0.0,0.0
Austria,AUT,2017,1.75785,10.913953,38.29375,4.920934,1.268971,3.703373,6.571511,0.0
Austria,AUT,2018,1.805283,9.917735,37.63791,4.930034999999999,1.437641,3.24698,6.030429,0.0
Austria,AUT,2019,1.63316390399999,11.617831821,41.63827012,4.536563462999999,1.352707729,3.24698,7.600233659,0.0
Belarus,BLR,2017,0.0,31.70526,0.401,0.195,0.089,0.0,0.097,0.0
Belarus,BLR,2018,0.0,35.8892,0.32076,0.206,0.177,0.0,0.099,0.0
Belarus,BLR,2019,0.0,36.67598,0.34452,0.336,0.181,0.0,0.178,0.0
Belgium,BEL,2017,0.0909,23.0285,0.2701,5.76589999999999,3.3073,3.8829,6.5137,42.2268
Belgium,BEL,2018,0.0912999999999999,23.9904,0.3135,5.4593,3.9018,3.76269999999999,7.4647,28.597
Belgium,BEL,2019,0.0912999999999999,25.158310531,0.306045283,5.21733277799999,3.87929396,3.87255258199999,9.361865331,42.41674157
Bosnia and Herzegovina,BIH,2017,11.67856,0,3.7521,0.006,0.021,0,0.001,0
Bosnia and Herzegovina,BIH,2018,11.75846,0,6.35382,0.008,0.021,0,0.103,0
Bosnia and Herzegovina,BIH,2019,9.97622,0,6.02019,0.0106666666666666,0.03,0,0.254,0
Bulgaria,BGR,2017,20.914091,1.922482,2.828103,0.395980999999999,1.402965,0.400756,1.50406399999999,15.545499
Bulgaria,BGR,2018,18.6594729999999,2.016917,5.146578,1.49232799999999,1.342775,0.437771,1.31812299999999,16.125281
Bulgaria,BGR,2019,17.3940199499999,2.239711645,2.93612544699999,1.469431491,1.470398845,0.436210968,1.29694689599999,16.561891246
Croatia,HRV,2017,1.3671,3.0901,5.30739999999999,0.5256,0.0787,0.2103,1.204,0.0
Croatia,HRV,2018,1.4526,2.2453,7.7009,0.670099999999999,0.0749,0.0685,1.3354,0.0
Croatia,HRV,2019,1.621178,2.598584,5.865936,0.913126999999999,0.07814,0.043221,1.440818,0.0
Czechia,CZE,2017,41.4437969999999,3.698476,1.869464,4.966978,2.193367,2.67368699999999,0.591038,28.3395999999999
Czechia,CZE,2018,41.201476,3.770457,1.62883,4.828278,2.358881,2.537815,0.609329999999999,29.921311
Czechia,CZE,2019,37.712194508,5.752342935,1.803642325,4.528141765,2.276559341,2.392278339,0.689944774,30.263731338
Denmark,DNK,2017,6.20854799999999,2.018162,0.017871,6.26365099999999,0.751485,1.00200699999999,14.78,0.0
Denmark,DNK,2018,6.570418,2.071999,0.014862,5.899071,0.952973,0.968459,13.898803,0.0
Denmark,DNK,2019,4.198358648,1.846760942,0.014862,5.76179283,0.95810288,1.114238718,15.87806884,0.0
Estonia,EST,2017,0.0176,0.063,0.026,1.03770099999999,0.014492,11.035699,0.723,0.0
Estonia,EST,2018,0.0,0.058,0.015,1.307,0.030802,10.313,0.636,0.0
Estonia,EST,2019,0.0,0.043912758,0.0095979419999999,1.314232339,0.0336136999999999,5.926841403,0.719181878,0.0
Finland,FIN,2017,5.857,3.3,14.771469,11.861537,0.048513,4.012955,4.795192,22.477
Finland,FIN,2018,5.791,4.195,13.301104,12.9102249999999,0.090225,5.062906,5.838668,22.793
Finland,FIN,2019,4.48663233,4.159466937,12.22515049,12.7382249999999,0.090225,3.949583807,6.126808962,23.802221333
France,FRA,2017,12.818153,40.500366,50.001257,8.420927,9.584882,11.782692,24.609437,398.359129
France,FRA,2018,8.412694,30.587768,65.284601,8.945082,10.568737,10.630602,28.599041,412.941811999999
France,FRA,2019,4.412694,37.587768,57.284601,8.945082,12.568737,11.630602,33.599041,398.941811999999
Germany,DEU,2017,241.3,86.7,20.2,51.2,39.4,27.1,105.7,76.3
Germany,DEU,2018,228.2,82.5,18.0,51.1,45.8,25.8,110.0,76.0
