Entity,Electricity from coal (TWh),Electricity from gas (TWh),Electricity from hydro (TWh),Electricity from other renewables (TWh),Electricity from solar (TWh),Electricity from oil (TWh),Electricity from wind (TWh),Electricity from nuclear (TWh),Total (TWh)
Albania,0.0,0.0,6.03339,0.0,0.008,0.0,0.0,0.0,6.04139
Austria,1.7320989679999965,10.816506606999999,39.18997670666667,4.795844154333333,1.3531065763333334,3.399111,6.734057886333333,0.0,68.02070189866666
Bosnia and Herzegovina,11.137746666666667,0.0,5.37537,0.0082222222222222,0.024000000000000004,0.0,0.11933333333333333,0.0,16.664672222222222
Belgium,0.0911666666666666,24.059070177,0.29654842766666667,5.480844259333327,3.6961313200000006,3.8393841939999933,7.780088443666667,37.746847190000004,82.99008067833331
Bulgaria,18.989194649999934,2.0597035483333332,3.63693548233333,1.1192468303333296,1.405379615,0.424912656,1.37304463199999,16.077557082,45.08597449599991
Belarus,0.0,34.756813333333334,0.3554266666666666,0.24566666666666667,0.149,0.0,0.12466666666666666,0.0,35.631573333333336
Switzerland,0.0,0.0,35.3502,3.1630000000000003,1.9126666666666667,0.6607266666666667,0.13440833333333332,23.15233333333333,64.373335
Czechia,40.11915583599997,4.407091978333333,1.7673121083333332,4.774465921666667,2.2762691136666664,2.53459344633333,0.6301042579999997,29.508214112666632,86.01720677499992
Germany,213.66666666666666,86.56666666666666,19.3,50.89999999999998,43.86666666666667,25.766666666666666,113.86666666666667,75.8,629.7333333333332
Denmark,5.659108215999996,1.9789739806666666,0.015865,5.974838276666663,0.8875202933333334,1.0282349059999967,14.852290613333333,0.0,30.39683128599999
Estonia,0.005866666666666667,0.05497091933333333,0.01686598066666663,1.21964444633333,0.026302566666666635,9.091846801,0.6927272926666667,0.0,11.10822467333333
Spain,31.572802643333333,68.71470670666663,25.854953386666597,5.957558333666664,14.095878124,17.020695512,51.46395132633334,57.417569457666666,272.0981154903332
Finland,5.378210776666667,3.8848223123333336,13.432574496666668,12.503328999999932,0.076321,4.341814935666666,5.586889654,23.02407377766667,68.22803595299993
