source,target,value
ALB,GRC,59433.91139240506
ALB,MNE,34069.07594936709
ALB,SRB,53611.8164556962
AUT,CHE,596432.8164556962
AUT,CZE,455.25949367088606
AUT,DEU,139797.1582278481
AUT,HUN,563737.2341772151
AUT,ITA,149462.57594936708
AUT,SVN,601682.7911392405
BEL,FRA,363429.417721519
BEL,GBR,209718.7405063291
BEL,LUX,15783.993670886075
BEL,NLD,270912.0063291139
BGR,GRC,243753.2658227848
BGR,MKD,259413.40506329114
BGR,ROU,100635.21518987342
BGR,SRB,217629.61392405065
BGR,TUR,236225.9746835443
BIH,HRV,322560.7151898734
BIH,MNE,259812.0
BIH,SRB,42053.373417721516
BLR,LTU,225078.1075949367
BLR,UKR,61787.458333333336
CHE,AUT,44322.70253164557
CHE,DEU,545482.9240506329
CHE,FRA,231877.18354430379
CHE,ITA,2389631.2721518986
CZE,AUT,1185299.9620253164
CZE,DEU,535797.5379746836
CZE,POL,14891.37341772152
CZE,SVK,1148833.905063291
DEU,AUT,1639232.3544303798
DEU,CHE,2053866.9683544303
DEU,CZE,917474.3164556962
DEU,DNK,625460.5
DEU,FRA,249848.1265822785
DEU,LUX,392414.16455696203
DEU,NLD,1668365.9936708861
DEU,POL,940221.1329113924
DEU,SWE,48003.082278481015
DNK,DEU,485548.082278481
DNK,NLD,25881.689873417723
DNK,NOR,318649.13291139243
DNK,SWE,347668.1898734177
ESP,FRA,323508.2278481013
ESP,PRT,487360.0569620253
EST,FIN,72274.10126582278
EST,LVA,309282.2151898734
EST,RUS,99962.06329113925
FIN,EST,297542.7974683544
FIN,NOR,6377.797468354431
FIN,RUS,15.227848101265822
FIN,SWE,42448.76582278481
FRA,BEL,717582.3164556962
FRA,CHE,717241.006329114
FRA,DEU,1200075.8101265824
FRA,ESP,1614669.8101265824
FRA,GBR,1351799.7848101265
FRA,ITA,1477630.0759493671
GBR,BEL,4977.329113924051
GBR,FRA,123859.54430379746
GBR,IRL,91299.1329113924
GBR,NLD,27798.303797468354
GRC,ALB,126516.34177215189
GRC,BGR,2479.215189873418
GRC,ITA,54056.81012658228
GRC,MKD,31945.63924050633
GRC,TUR,589.3354430379746
HRV,BIH,54467.487341772154
HRV,HUN,24682.29746835443
HRV,SRB,19850.462025316454
HRV,SVN,213919.72784810126
HUN,AUT,20846.974683544304
HUN,HRV,444724.35443037975
HUN,ROU,119870.43670886075
HUN,SRB,78518.28481012658
HUN,SVK,1164.4493670886077
HUN,UKR,191.99166666666667
IRL,GBR,149141.74683544305
ITA,AUT,4878.2468354430375
ITA,CHE,21704.006329113923
ITA,FRA,20621.525316455696
ITA,GRC,200685.67721518988
ITA,MLT,81736.41139240506
ITA,MNE,99.9746835443038
ITA,SVN,15086.537974683544
LTU,BLR,31599.45569620253
LTU,LVA,12741.360759493671
LTU,POL,205545.48101265822
LTU,RUS,1362.3164556962026
LTU,SWE,23458.36075949367
LUX,BEL,10567.069620253165
LUX,DEU,0.0
LVA,EST,9452.981012658227
LVA,LTU,360594.0253164557
LVA,RUS,2743.03164556962
MDA,UKR,681.9083333333333
MKD,BGR,316.2025316455696
MKD,GRC,235389.11392405065
MKD,SRB,35225.101265822785
MLT,ITA,2242.8544303797466
MNE,ALB,162857.08860759492
MNE,BIH,61872.57594936709
MNE,ITA,1636.26582278481
MNE,SRB,66584.3164556962
NLD,BEL,969792.0379746836
NLD,DEU,167699.5253164557
NLD,DNK,24524.63924050633
NLD,GBR,774454.4873417722
NLD,NOR,72190.65822784811
NOR,DNK,508231.582278481
NOR,FIN,27499.51265822785
NOR,NLD,427438.582278481
NOR,SWE,938404.7215189873
POL,CZE,452520.5063291139
POL,DEU,10752.518987341773
POL,LTU,62356.3417721519
POL,SVK,415614.1582278481
POL,SWE,27929.367088607596
POL,UKR,0.0
PRT,ESP,555869.082278481
ROU,BGR,323474.38607594935
ROU,HUN,48843.94936708861
ROU,SRB,186106.32278481012
ROU,UKR,25153.591666666667
RUS,EST,88361.87341772152
RUS,FIN,807492.0
RUS,LTU,317784.5443037975
RUS,LVA,121466.3670886076
RUS,UKR,101174.80833333333
SRB,ALB,21877.696202531646
SRB,BGR,3712.3037974683543
SRB,BIH,85818.48101265823
SRB,HRV,113853.46202531646
SRB,HUN,76842.07594936709
SRB,MKD,191130.3734177215
SRB,MNE,73774.76582278482
SRB,ROU,32166.107594936708
SVK,CZE,3707.2025316455697
SVK,HUN,959633.0253164558
SVK,POL,2076.1708860759495
SVK,UKR,274011.075
SVN,AUT,26454.772151898735
SVN,HRV,175779.29746835443
SVN,ITA,678210.5696202532
SWE,DEU,180235.82911392406
SWE,DNK,597825.493670886
SWE,FIN,1696186.7088607594
SWE,LTU,375729.60126582277
SWE,NOR,598525.2025316455
SWE,POL,351627.16455696203
TUR,BGR,12166.398734177215
TUR,GRC,334862.66455696203
UKR,BLR,84332.20833333333
UKR,HUN,494933.7166666667
UKR,MDA,89996.93333333333
UKR,POL,147914.05833333332
UKR,ROU,164160.89166666666
UKR,RUS,77855.3
UKR,SVK,9958.066666666668
