#each line of this file is the electricity trade-off from the first week of the 2017 to last week of 2019, last line is the mean value of all the previous line
ALB,AUT,BIH,BEL,BGR,BLR,CHE,CZE,DEU,DNK,EST,ESP,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ITA,LTU,LUX,LVA,MDA,MNE,MKD,MLT,NLD,NOR,POL,PRT,ROU,SRB,RUS,SWE,SVN,SVK,TUR,UKR
-243,-1280,121,-818,551,330,-2610,1470,6830,160,298,-407,-3330,-4500,-468,-107,-953,-411,91.1,1030,-1120,0,264,0,-205,-227,-173,576,2170,1290,291,1060,-986,1800,730,-151,-1000,-117,0
-220,-2100,191,-1550,114,170,-2250,1150,7060,519,430,610,-2640,1160,-290,1.04,-892,-778,169,-3250,-1190,0,-64.4,0,-210,-275,-183,701,969,552,417,1160,-1300,935,2010,-83.8,-1170,128,0
-218,-1510,157,-1540,-78.3,297,-2140,1900,5680,-586,370,682,-2200,-2450,169,61.7,-735,-707,93.3,-2470,-1160,0,106,0,-331,-224,-184,1390,2000,452,271,1090,-862,892,2730,-99.8,-1010,162,0
-275,-1600,40.7,-1060,-32.3,294,-2870,1770,5410,-653,495,381,-2190,-357,-258,-175,-831,-779,177,-1690,-1170,0,-32.1,0,-190,-269,-154,997,2020,338,208,821,-837,852,2730,-157,-1110,162,0
-260,-2340,105,-1130,-18.3,298,-3790,1230,6340,-249,412,-1360,-2390,5540,-1300,-177,-427,-1350,76.1,-4290,-1240,0,12.6,0,-141,-194,-127,924,2580,372,1320,642,-712,986,1820,-76.4,-1190,101,0
-249,-2080,357,-1390,288,346,-3630,1650,6860,715,265,416,-2790,1550,-862,-274,-386,-1210,109,-4560,-1150,0,112,0,60.4,-162,-167,748,1220,704,1320,589,-238,1030,1570,46.3,-912,114,0
-242,-2900,418,-596,494,380,-3650,1830,7370,-171,538,-2920,-2280,5420,-1690,-794,-654,-1400,124,-3980,-1100,0,-83.5,0,-40.9,-183,-157,960,1230,396,755,601,-36.3,841,2650,-223,-1010,97.4,0
-233,-1480,310,-301,533,166,-2320,1400,7380,1090,227,-2710,-2860,6100,-1810,-716,-649,-1640,121,-4790,-868,0,-141,0,-31.0,-194,-165,-154,-1110,303,700,837,-132,1310,2360,-25.0,-549,21.9,0
-148,-1450,521,-503,624,69.8,-2010,1780,6280,660,247,-1580,-2620,6530,-2710,-1050,-514,-1270,49.9,-5470,-958,0,-50.2,0,17.8,-196,-161,-573,-90.7,123,95.0,841,50.8,1020,2860,174,-454,-133,0
-106,-1470,664,-843,683,217,-1700,1990,5310,194,448,-2290,-2250,6990,-2770,-1290,-144,-997,55.7,-5570,-1030,0,530,0,70.0,-260,-144,-182,445,-284,242,993,-384,1080,2100,152,-399,-57.4,0
-117,-1580,471,-635,649,153,-1060,1490,6610,521,284,-2460,-2110,803M,-2640,-1450,-693,-677,23.5,-6330,-914,0,594,0,-63.2,-332,-142,-530,-1350,-320,546,1100,-410,584,3390,-21,-516,-89.2,0
-127,-218,344,-722,768,176,-305,1720,4910,-31.4,371,-3450,-1620,7460,-2690,-1190,-768,-1030,-17.0,-6230,-915,0,412,0,-26.8,-316,-140,-471,-555,-662,828,626,-66.6,812,3310,72.1,-195,-63.5,0
-103,-1350,26.7,-1730,650,180,-470,2840,4090,-630,404,-2240,-2010,9650,-2900,-991,-795,-804,64.9,-5840,-945,0,370,0,-33.8,-246,-147,-218,114,-440,-293,689,-137,835,2130,31.3,-813,46.4,0
-13.2,-869,218,-2380,484,144,-572,2880,3580,-63.7,271,-2370,-2320,9150,-2790,-1080,-972,-731,11.7,-5020,-993,0,199,0,-60.4,-263,-118,-619,1010,-608,-73.9,656,-271,855,3410,21.9,-901,207,0
-30.8,-1810,44.7,-2120,665,73.3,-260,2340,6820,514,-21.4,-2170,-2620,7620,-2740,-1150,-927,-551,53.1,-4580,-886,0,189,0,-126,-264,-74.9,-366,-219,1.14,-123,293,-254,597,2870,19.8,-957,137,0
-24.2,-1100,93.3,-2100,483,216,-370,2110,5920,251,185,-2410,-2400,6060,-2820,-1270,-790,-777,20.2,-3680,-984,0,209,0,-221,-281,-73.2,3.45,209,19.8,604,936,-397,303,3080,-294,-989,280,0
-26.2,-671,78.0,-1930,248,148,-494,2320,4290,-174,634,-2390,-3050,4760,-2660,-1180,-532,-1070,-884,-2790,-923,0,297,0,-250,-243,-96.6,431,1340,-263,682,891,16.1,684,2430,165,-915,249,0
-270,-911,-50.3,-1880,407,-80.6,-659,2320,4950,-178,447,-2070,-2170,6560,-2530,-779,-825,-1090,-895,-3280,-920,0,339,0,-238,-177,-115,-737,353,200,-75.3,250,249,1200,2140,54.2,-656,241,0
-268,-519,4.06,-1360,274,160,-145,2020,3660,-504,611,-3160,-2080,8440,-2740,-873,-826,-913,-295,-4520,-897,0,173,0,-231,-204,-102,-1210,1400,-316,551,626,266,1070,1720,156,-529,245,0
-287,74.3,-30.4,-1470,484,234,1030,534,4100,-1470,519,-3360,-2290,9110,-2280,-1040,-926,-1120,0,-4100,-1040,0,-58.0,0,-251,-234,-114,-2420,2500,-685,548,353,349,409,3180,147,-640,222,0
-266,-303,-25.5,-1240,554,204,1580,421,5440,-1290,391,-2350,-1970,6790,-2270,-888,-1030,-1180,-755,-4000,-946,0,-234,0,-204,-210,-136,-2180,2140,-606,-85.6,312,239,368,3360,93.7,-725,257,0
-144,-366,46.9,-1320,451,168,2270,1020,4610,-1240,350,-2350,-1900,4300,-2230,-689,-1320,-1230,39.9,-3530,-872,0,-274,0,-238,-185,-117,-1300,2590,-277,333,357,610,737,2220,90.3,-811,184,0
-72.7,-757,191,173,546,124,860,199,5830,-1110,275,-2710,-2220,6510,-2550,-789,-1280,-871,127,-4020,-860,0,-203,0,-296,-180,-80.2,-2170,1960,-412,538,617,219,786,2160,-26.9,-566,54.3,0
-85.9,-526,322,-510,809,26.3,1130,260,6670,-757,314,-2450,-2490,3410,-2380,-811,-1190,-740,132,-3440,-902,0,-145,0,-271,-182,-91.3,-1390,2760,229,363,473,188,928,1370,-301,-832,123,0
