#each line of this file is the electricity trade-off from the first week of the 2020 to last week of 2020, last line is the mean value of all the previous line
AL,AT,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA
-327,-1490,1050,3.86,-137,120,-875,1030,6700,342,-565,-2530,-1680,6510,-1680,-1320,-638,-1770,5.57,-5020,-1130,-475,-67.7,-43.6,-186,-352,0,-92.9,-178,-1010,320,-294,-288,1780,4300,-201,-346,175,364
-399,-1660,1330,-82.0,-224,162,-853,1090,5940,418,-511,-2140,-1910,8130,-2580,-835,-805,-1620,-9.81,-5250,-1080,-468,-41.3,-67.7,-424,-390,0,518,80.0,-1110,711,-805,-632,1380,4340,-330,-411,270,265
-297,-1680,1180,-1270,-148,176,367,1270,4970,183,-508,-1660,-1870,2960,-1020,-1280,-724,-1570,-145,-3630,-1030,-534,-68.3,-66.3,-405,-370,0,723,58.7,-934,1650,63.8,-749,1170,5380,-188,-365,223,157
-262,-1200,1230,-42.1,2.84,178,-1320,999,6140,386,-595,-1330,-1590,8800,-2940,-1350,-719,-1590,148,-4880,-1200,-452,-44.7,-62.4,-483,-394,0,39.6,52.9,-720,-137,-143,-544,917,3290,-178,-245,75.9,143
-283,108,747,-836,400,75.7,-1010,916,3810,-83.7,-574,-1560,-1410,10500,-3050,-1480,-600,-1620,233,-5900,-1150,-489,31.3,-53.7,-334,-395,0,-48,714,-1190,73.3,-291,12.8,867,3800,-267,188,-40.4,164
-249,-854,813,-126,373,15.9,-905,957,6090,510,-693,-1750,-1700,10200,-3040,-1610,-560,-1680,270,-5880,-978,-448,-58.6,-53.0,-381,-377,0,-454,-467,-902,-256,-511,107,672,3850,-201,-2.05,-88.3,362
-339,-1370,1090,259,188,108,-1330,849,8290,497,-536,-1890,-1640,8740,-3060,-1480,-649,-1610,248,-6080,-1010,-431,-133,-69.8,-332,-357,0,-216,-334,-1230,-123,-690,119,403,3960,-211,-33.9,-121,523
-345,-471,884,215,419,66.1,-637,779,5450,78.2,-539,-465,-1990,8710,-3510,-1470,-531,-1670,214,-6130,-1010,-450,87.1,-72.5,-177,-423,0,-53.2,1370,-1420,-328,-159,108,780,2270,-172,192,-211,624
-32.5,-530,830,142,604,7.46,99.6,1280,3080,-596,-473,744,-1690,6570,-3340,-1460,-416,-1510,99.1,-7030,-1150,-494,134,-56.8,223,-426,0,-108,1690,-1840,17.3,-150,428,502,4280,52.3,-12.7,-82.2,607
-143,-872,814,549,505,-51.2,-534,597,4930,161,-515,-1380,-1850,8340,-3300,-1530,-599,-1610,189,-6600,-759,-443,58.7,-51.2,94.0,-381,-33.1,-271,424,-1090,-292,16.3,459,510,4190,-195,114,-48.5,587
-222,-317,647,540,756,-127,-56.4,511,1040,-678,-600,-1520,-1610,10300,-3480,-1430,-687,-1220,43.7,-5530,-924,-404,164,-39.6,16.8,-348,-61.2,-119,1830,-1610,38.9,-387,459,449,4170,-95.3,187,-223,567
-214,-193,537,477,800,-92.5,-140,85.3,3920,-531,-553,-1530,-1530,7530,-3030,-1650,-714,-1250,-79.5,-2950,-1070,-323,-69.6,-40.1,-41.4,-362,-48.6,-1200,2050,-1740,-778,458,61.7,229,3890,-151,63.7,-242,412
-211,-941,501,99.4,567,-80.0,194,718,490,-2.53,-479,721,-2020,6680,-3140,-1490,-730,-1100,188,-1560,-903,-352,-193,-14.2,-90.1,-261,-8.45,-122,2190,-1470,-1230,-150,3.08,666,3580,-101,-256,-33.0,354
